"position" "all" "B_mori" "C_cecrops" "D_plexippus" "H_melpomene" "L_accius" "L_sinapis" "P_machaon" "P_sennae" "dataset" "sd_all" "median" "sd_L_sin"
"1" "First" 0.511578062650602 0.512086072289157 0.519015007228916 0.508239522891566 0.500449438554217 0.518528612048193 0.505722426506024 0.516468125301205 0.511757915662651 "Aligned dataset" 0.05560302999668 0.50878 0.0592646438687204
"2" "Second" 0.391205272289157 0.392049202409639 0.392043597590361 0.390756802409639 0.388908602409639 0.392372204819277 0.389405515662651 0.393041920481928 0.390621392771084 "Aligned dataset" 0.0547438617370862 0.387055 0.0581765674722672
"3" "Third" 0.468083959036145 0.476755281927711 0.530721101204819 0.463775908433735 0.396674144578313 0.498593453012048 0.437410609638554 0.466750761445783 0.479214243373494 "Aligned dataset" 0.122144505840922 0.464965 0.128284785025609
"4" "First" 0.5248896 0.5249973 0.5259976 0.5261328 0.5192511 0.5320136 0.5206048 0.5254025 0.5244705 "Conserved dataset" 0.0498346177379832 0.522555 0.0529565477391082
"5" "Second" 0.3750404 0.3745237 0.3749244 0.3741629 0.3754637 0.3739149 0.3741977 0.374473 0.376117 "Conserved dataset" 0.0554541046002016 0.37284 0.0538646859982203
"6" "Third" 0.4565494 0.4565215 0.4536664 0.4647063 0.4061566 0.511787 0.4215071 0.4669919 0.4700293 "Conserved dataset" 0.135947606134782 0.421825 0.129292845633117
"7" "First" 0.542576585365854 0.549170243902439 0.559147073170732 0.539585853658537 0.51842 0.543233902439024 0.543852682926829 0.549899512195122 0.540391463414634 "Pos sel cand" 0.0461395550807415 0.5474 0.060391036918751
"8" "Second" 0.41299756097561 0.415197317073171 0.417769512195122 0.415246829268293 0.404870243902439 0.409342926829268 0.419046341463415 0.413204146341463 0.412168292682927 "Pos sel cand" 0.0487853148898563 0.41512 0.0534856335269621
"9" "Third" 0.570214146341463 0.613549512195122 0.660429024390244 0.57119243902439 0.456783902439024 0.584569756097561 0.557382926829268 0.563000975609756 0.574659512195122 "Pos sel cand" 0.10521581756028 0.57571 0.129257392559263
